Target device: xilinx_u250_gen3x16_xdma_shell_4_1-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
5301.08,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5321.96,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5342.95,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5363.97,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5384.91,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5405.84,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5426.94,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5448.08,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5469.05,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5490.07,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5510.96,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5531.54,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5553.34,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5574.45,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5595.47,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5616,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5636.68,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5657.56,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5678.12,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
